"PERIODE","DP01","DP10","DP1X","DSND","PRCP","TAVG","TMAX","TMIN","EMXP","EMXT","EMNT"
"2017:Q4",13,8,0,0,20.4666666666667,12.9666666666667,19.8666666666667,6.03333333333333,21.8,31.1,-1
"2018:Q1",25,18,3,0,92.7,10.6333333333333,16.5666666666667,4.66666666666667,64.8,28.9,-1.6
"2018:Q2",7,5,1,0,22.0666666666667,18.7,26.5333333333333,10.9,30,38.9,1.7
"2018:Q3",0,0,0,0,0,23.4333333333333,32.5,14.3666666666667,0,40,10.6
"2018:Q4",15,11,1,0,41.3666666666667,13.3666666666667,20.1666666666667,6.53333333333333,25.7,29.4,-0.5
"2019:Q1",40,26,4,0,134,10.3,15.1,5.53333333333333,53.6,23.9,-1.6
"2019:Q2",10,8,1,0,33.3666666666667,19.1,26.3,11.9,30.5,39.4,6.1
"2019:Q3",2,0,0,0,1,24.1,32.6666666666667,15.5333333333333,2,40.6,7.2
"2019:Q4",17,12,0,0,42.3333333333333,13.5,20.5333333333333,6.46666666666667,23.9,32.2,-0.5
"2020:Q1",15,8,0,0,23.0333333333333,11.2333333333333,17.2333333333333,5.23333333333333,17.3,27.8,0
"2020:Q2",9,5,0,0,16.9666666666667,20.3,28.5,12.1,23.1,39.4,2.8
"2020:Q3",1,0,0,0,0.166666666666667,25.1666666666667,34.3333333333333,16,0.5,44.4,12.8
"2020:Q4",10,6,0,0,17.6333333333333,13.6333333333333,21.3,6,19.8,35.6,-0.5
"2021:Q1",21,13,1,0,37.8,10.8666666666667,17.0666666666667,4.63333333333333,28.4,28.3,-2.7
"2021:Q2",2,0,0,0,0.2,20.3,29.1,11.5333333333333,0.3,42.8,4.4
"2021:Q3",2,0,0,0,0.433333333333333,24.1666666666667,33.6,14.7333333333333,1,42.8,8.3
"2021:Q4",28,19,2,0,121.666666666667,12.1666666666667,17.3666666666667,7,137.4,32.2,-0.5
"2022:Q1",5,3,0,0,12.1333333333333,11.2666666666667,18.5333333333333,4.03333333333333,24.4,28.9,-2.7
"2022:Q2",10,3,0,0,6.33333333333333,19.8666666666667,28.3666666666667,11.3,4.1,40.6,0.6
"2022:Q3",3,1,0,0,2.36666666666667,25,33.9666666666667,16.0666666666667,5.3,45.6,11.7
"2022:Q4",17,13,2,0,74,12.4,18.9666666666667,5.8,53.8,36.1,-1.6
"2023:Q1",38,31,0,0,108.166666666667,9.53333333333333,14.5333333333333,4.5,25.1,22.2,-1.6
"2023:Q2",4,2,0,0,3.36666666666667,18.0333333333333,25.3666666666667,10.7,3.8,38.3,2.8
"2023:Q3",3,0,0,0,0.7,24.0333333333333,32.5333333333333,15.5333333333333,1.5,41.7,11.1
"2023:Q4",18,13,1,0,47.8333333333333,14.1,20.9666666666667,7.2,40.6,35,-0.5
"2024:Q1",37,27,1,0,82.9,11.5333333333333,16.1666666666667,6.9,29,23.3,0.6
"2024:Q2",5,5,0,0,18.3666666666667,19.6,27.8,11.3666666666667,18.5,38.9,3.3
"2024:Q3",1,0,0,0,0.266666666666667,24.9333333333333,34.1666666666667,15.6666666666667,0.8,43.3,11.7
"2024:Q4",24,19,2,0,61.9666666666667,13.8,20.2666666666667,7.4,49.8,38.9,0
