"PERIODE","DP01","DP10","DP1X","DSND","PRCP","TAVG","TMAX","TMIN","EMXP","EMXT","EMNT"
"2013:Q3",22,10,3,0,76.2666666666667,29.9,36.5,23.3,74.2,41.7,14.4
"2013:Q4",25,16,5,0,147.633333333333,15.4666666666667,21.1333333333333,9.8,107.2,33.9,-2.7
"2014:Q1",19,8,0,0,17.8,12.6666666666667,19.3666666666667,5.93333333333333,18.8,31.7,-5.5
"2014:Q2",21,14,5,0,102.166666666667,24.0333333333333,29.7,18.4,62.2,35.6,3.9
"2014:Q3",20,12,3,0,107.433333333333,28.9,34.9333333333333,22.8666666666667,93,40,15.6
"2014:Q4",23,9,3,0,73.6666666666667,16.5333333333333,21.8,11.2333333333333,83.8,34.4,-1
"2015:Q1",32,18,3,0,87.7,11.9,17.4,6.4,55.1,28.9,-4.9
"2015:Q2",41,25,9,0,243.733333333333,24.3666666666667,29.3333333333333,19.3333333333333,132.1,35,9.4
"2015:Q3",5,3,1,0,19,29.7333333333333,35.9666666666667,23.4666666666667,26.7,40.6,17.2
"2015:Q4",22,14,6,0,157.4,18,23.9,12.1,125.2,37.2,0
"2016:Q1",16,8,2,0,44.0333333333333,15.1333333333333,21.3333333333333,8.93333333333333,55.4,33.3,-0.5
"2016:Q2",34,30,6,0,142.966666666667,24.3,29.7333333333333,18.8666666666667,57.2,38.3,6.7
"2016:Q3",25,13,4,0,92.8333333333333,29.4333333333333,35,23.8666666666667,59.7,40.6,15.6
"2016:Q4",18,12,2,0,49.3,18.6,24.1333333333333,13.0333333333333,32.8,34.4,-4.9
"2017:Q1",20,12,2,0,73.7,17.3666666666667,23.3333333333333,11.3666666666667,39.9,32.2,-7.1
"2017:Q2",24,13,3,0,60.4,25.2,31.3333333333333,19.0333333333333,35.3,40,8.9
"2017:Q3",17,7,4,0,107.5,29.2666666666667,35.4,23.2,129,41.7,13.9
"2017:Q4",14,8,2,0,52.4666666666667,17.3,23.1666666666667,11.4666666666667,41.7,33.3,-2.7
"2018:Q1",26,10,1,0,48.5666666666667,14.2333333333333,19.8666666666667,8.63333333333333,83.3,32.2,-7.7
"2018:Q2",19,6,2,0,60.8,25.6666666666667,31.7333333333333,19.5333333333333,93.2,38.3,4.4
"2018:Q3",26,16,5,0,104.233333333333,29.8,35.7333333333333,23.8666666666667,45,43.3,16.7
"2018:Q4",35,24,4,0,129.733333333333,15.5666666666667,20.6666666666667,10.4,63.8,32.8,-1.6
"2019:Q1",23,8,1,0,37.1666666666667,13.4,18.6666666666667,8.16666666666667,59.4,32.8,-3.2
"2019:Q2",32,23,7,0,163.066666666667,24.5333333333333,30.0333333333333,19,86.4,36.7,4.4
"2019:Q3",9,5,1,0,21.5333333333333,31.2,37.5666666666667,24.8,33,40.6,17.2
"2019:Q4",20,12,2,0,48.1,16.7666666666667,23.4333333333333,10.0666666666667,52.3,37.2,-1
"2020:Q1",28,12,2,0,73.6333333333333,15.8,21.3666666666667,10.2,36.3,33.3,-0.5
"2020:Q2",27,17,3,0,113.366666666667,24.8666666666667,30.9666666666667,18.7666666666667,60.2,37.8,6.1
"2020:Q3",12,10,4,0,66.6,29.7333333333333,35.9666666666667,23.5333333333333,58.2,42.2,11.7
"2020:Q4",13,6,2,0,43.6,17.9666666666667,24.8666666666667,11.0666666666667,45.2,37.2,-1
"2021:Q1",28,10,1,7,39.4666666666667,13.1,19.2666666666667,6.9,27.2,30.6,-13.8
"2021:Q2",33,22,4,0,120.666666666667,24.3666666666667,29.6666666666667,19.1,36.6,37.8,6.1
"2021:Q3",21,13,4,0,79.9666666666667,29.0666666666667,34.9666666666667,23.2,61,38.9,14.4
"2021:Q4",15,8,3,0,79.5,19.4666666666667,25.5333333333333,13.4,62.2,33.3,0.6
"2022:Q1",15,7,3,0,51.6666666666667,12.3,19.4,5.23333333333333,49.3,32.8,-6
"2022:Q2",18,7,3,0,51.1333333333333,27.3333333333333,33.9333333333333,20.7666666666667,42.7,40.6,6.7
"2022:Q3",11,7,1,0,52.4666666666667,30.6,37.4333333333333,23.8,94.7,43.3,16.1
"2022:Q4",28,14,3,0,70.1333333333333,16.7666666666667,22.4666666666667,11.0666666666667,45.7,36.7,-9.3
"2023:Q1",21,8,2,0,39.6666666666667,15.4,21.6666666666667,9.13333333333333,27.7,32.8,-1.6
"2023:Q2",22,12,2,0,81.6333333333333,25.1666666666667,31.0333333333333,19.2666666666667,54.1,41.1,8.3
"2023:Q3",8,5,0,0,14.6666666666667,31.8,38.9333333333333,24.7,19,43.3,19.4
"2023:Q4",21,15,4,0,91.3,16.9333333333333,22.5666666666667,11.3,65.3,36.7,-0.5
"2024:Q1",20,12,3,0,71.1,14.4333333333333,20.1333333333333,8.83333333333333,79,32.8,-8.8
"2024:Q2",21,14,6,0,97.0666666666667,26.2666666666667,31.5666666666667,21.0333333333333,41.1,38.3,8.9
"2024:Q3",13,9,1,0,41.5666666666667,29.8,35.9333333333333,23.6666666666667,26.4,42.8,15.6
"2024:Q4",19,7,1,0,29.5333333333333,19.9333333333333,26.6666666666667,13.2666666666667,45.5,38.3,1.1
